,Application/Permit Number,Address,Description,Category,Action Type,Value,Application Date,Issue Date,Final Date,Expiration Date,Status,Latitude,Longitude,Location
22447,6362067,1622 E YESLER WAY,"Construction of live-work building with attached parking and occupy, per plan.",MULTIFAMILY,NEW,1924615.0,2014-04-24,2014-09-20,2015-10-02,2016-03-20,Permit Closed,47.60187557,-122.3108216,"1622 E YESLER WAY
(47.60187557, -122.31082161)"
22457,6368859,3400 WALLINGFORD AVE N,Construct apartment building (West tower) with 8 live-work units and occupy per plan (Establish use as apartments with underground garage and construct 2 new apartment structures with below ground parking/review & process for 2 AP's under #6368859).,MULTIFAMILY,NEW,10666169.0,2013-10-07,2015-01-07,2017-03-23,2018-01-07,Permit Closed,47.64827306,-122.3357527,"3400 WALLINGFORD AVE N
(47.64827306, -122.33575265)"
22526,6360802,3601 GREENWOOD AVE N,"Construct mixed use retail and multi-family residential building and occupy, per plans",COMMERCIAL,NEW,5584163.0,2013-09-30,2014-08-18,2015-11-20,2016-02-18,Permit Closed,47.65295277,-122.35594409999999,"3601 GREENWOOD AVE N
(47.65295277, -122.35594409)"
22577,6308275,200 BELMONT AVE E,"Establish use as and construct a new mixed-use building (retail/restaurant/live-work/apartments) with underground parking, occupy per plan.  Includes 2 Live work units.",MULTIFAMILY,NEW,10137862.0,2012-02-07,2015-01-15,2015-03-02,2016-07-15,Permit Closed,47.61994888,-122.3238534,"200 BELMONT AVE E
(47.61994888, -122.32385344)"
22601,6511148,1963 S STATE ST,"Construction of parking and play field for Hamlin Robison School, per plan.",COMMERCIAL,NEW,1400000.0,2016-05-12,2016-09-13,2017-09-08,2018-03-13,Permit Closed,47.58762597,-122.3066973,"1963 S STATE ST
(47.58762597, -122.30669731)"
22792,6330059,3635 WOODLAND PARK AVE N,"Phased permit: Construction of a residential and live-work building with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,20118652.0,2012-10-16,2013-05-01,2014-11-13,2016-05-01,Permit Closed,47.65155384,-122.3443593,"3635 WOODLAND PARK AVE N
(47.65155384, -122.3443593)"
22818,6387901,400 DEXTER AVE N,"Construct a new office building with ground floor retail and below grade parking, and occupy per plans.",COMMERCIAL,NEW,67424413.0,2015-05-14,2015-09-16,2017-06-06,2018-09-16,Permit Closed,47.6223157,-122.34195679999999,"400 DEXTER AVE N
(47.6223157, -122.34195684)"
23107,6309251,2202 E OLIVE ST,"Change use to live-work on ground floor and apartments on upper floors. Construct mixed use building and occupy, per plan.",MULTIFAMILY,NEW,2026988.0,2013-08-19,2014-04-04,2017-01-19,2017-04-04,Permit Closed,47.61727963,-122.303478,"2202 E OLIVE ST
(47.61727963, -122.30347804)"
23187,6417082,901 E ROANOKE ST,"Construct new Seattle Fire Station #22, occupy per plans.",INSTITUTIONAL,NEW,2234000.0,2015-05-12,2015-12-23,2017-10-16,2018-12-23,Permit Closed,47.6429976,-122.32086899999999,"901 E ROANOKE ST
(47.6429976, -122.32086895)"
23514,6361888,300 BOREN AVE N,"Construction of base podium and south tower of office and retail building with below grade parking and occupy, per plan. The facades of the two existing structures to remain.",COMMERCIAL,NEW,124494740.0,2013-11-13,2014-11-13,2017-09-27,2017-11-13,Permit Closed,47.62107332,-122.335549,"300 BOREN AVE N
(47.62107332, -122.33554895)"
23552,6501703,1634 11TH AVE,"Shoring and excavation for Construction of a residential, community center, and retail building with below grade parking, per plan",COMMERCIAL,NEW,1644000.0,2015-12-29,2016-06-03,2018-02-26,2019-06-03,Permit Closed,47.61619705,-122.31785590000001,"1634 11TH AVE
(47.61619705, -122.31785593)"
23766,6357952,6580 HIGH POINT DR SW,"Construct northwest townhouse structure, per plans.  (Establish use as and construct two new multifamily townhouse structures with attached garages, per plans / Review and processing for 2 AP's under 6357952)",MULTIFAMILY,NEW,1133740.0,2013-04-29,2013-07-27,2014-04-22,2015-01-27,Permit Closed,47.54365066,-122.367723,"6580 HIGH POINT DR SW
(47.54365066, -122.36772297)"
23831,6365080,1925 AIRPORT WAY S,"Phased project: Construction of northeast commercial building (821 S Holgate St/1925 Airport Way S) for auto dealerships and services with accessory parking and occupy, per plan (Construction of four commercial buildings for auto dealerships and services with accessory parking and occupy, per plan - see also 6365079 and 6365081 and 6361128).",COMMERCIAL,NEW,10940686.0,2013-07-02,2013-10-02,2015-06-11,2016-10-02,Permit Closed,47.58577803,-122.32187069999999,"1925 AIRPORT WAY S
(47.58577803, -122.32187071)"
23949,6360716,1135 NE CAMPUS PKWY,"Construction of new residential student housing building (Maple Hall) and occupy, per plan (Construct addition to below grade parking and podium structure connecting to Lander Hall and construct Maple and Terry residential buildings on top of podium structure and occupy, per plan - 3APs under 6249284)",INSTITUTIONAL,NEW,16563290.0,2013-04-25,2014-03-07,2015-10-27,2017-03-07,Permit Closed,47.65575639,-122.31666770000001,"1135 NE CAMPUS PKWY
(47.65575639, -122.3166677)"
24223,6356939,500 FAIRVIEW AVE N,"Shoring and excavation only for construction of a laboratory and office building with below grade parking, per plan",COMMERCIAL,NEW,1500000.0,2013-03-21,2014-07-29,2015-12-10,2016-01-29,Permit Closed,47.62345613,-122.3340971,"500 FAIRVIEW AVE N
(47.62345613, -122.33409713)"
24239,6358207,90 E NEWTON ST,"Establish use as and construct 6-unit rowhouse with surface parking, occupy per plan.",MULTIFAMILY,NEW,1098353.0,2013-04-25,2013-07-25,2014-08-25,2015-01-25,Permit Closed,47.63686807,-122.32757340000002,"90 E NEWTON ST
(47.63686807, -122.32757344)"
24362,6285190,201 5TH AVE N,"Construction of a hotel and residential building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,23355824.0,2013-05-21,2013-11-26,2016-04-18,2016-11-26,Permit Closed,47.62008761,-122.3479865,"201 5TH AVE N
(47.62008761, -122.34798654)"
24448,6281378,5711 24TH AVE NW,"Excavation, shoring and construction of new mixed used building with underground parking and occupy per plan.",COMMERCIAL,NEW,11750000.0,2012-06-01,2013-09-11,2015-09-24,2016-09-11,Permit Closed,47.67054426,-122.3880165,"5711 24TH AVE NW
(47.67054426, -122.38801647)"
24461,6524262,930 28TH AVE S,"Establish use as Rowhouse and Construct new townhouse structure with covered parking, per plan.",MULTIFAMILY,NEW,1218348.0,2016-06-27,2016-10-20,2017-10-04,2018-04-20,Permit Finaled,47.59363323,-122.2963906,"930 28TH AVE S
(47.59363323, -122.2963906)"
24551,6412991,714 N 95TH ST,"Establish use as small efficiency dwelling units and construct new multifamily structure, and occupy per plan.",MULTIFAMILY,NEW,1259785.0,2014-08-07,2016-03-14,2017-11-02,2019-03-14,Cert of Occupancy Authorized,47.69809112,-122.3492993,"714 N 95TH ST
(47.69809112, -122.34929927)"
24562,6352578,531 QUEEN ANNE AVE N,"Construct multi-use residential/commercial building with below grade parking, ground floor retail and upper floors residential with complete dwelling unit build-out, and occupy per plans.",COMMERCIAL,NEW,6739070.0,2014-11-21,2015-07-20,2016-12-16,2017-01-20,Permit Closed,47.62422755,-122.3571004,"531 QUEEN ANNE AVE N
(47.62422755, -122.35710042)"
24650,6155458,1823 MINOR AVE,"Construction of a mixed use building, including soldier piles on adjacent properties, and occupy residential portion, per plan.",COMMERCIAL,NEW,93492070.0,2010-11-18,2015-02-02,2017-07-18,2018-02-02,Permit Closed,47.61712077,-122.331524,"1823 MINOR AVE
(47.61712077, -122.33152395)"
24666,6387467,2101 9TH AVE,"Construction of a residential high rise building with retail at grade and below grade parking and occupy, per plan.",COMMERCIAL,NEW,114057844.0,2014-09-18,2015-08-24,2018-02-15,2018-08-24,Permit Closed,47.61709778,-122.3375332,"2101 9TH AVE
(47.61709778, -122.33753317)"
24741,6353535,1821 BOREN AVE,"Construction of a hotel tower on below grade parking structure, per plan.",COMMERCIAL,NEW,26621027.0,2013-08-23,2014-02-24,2015-06-01,2015-08-24,Permit Closed,47.61665268,-122.3326278,"1821 BOREN AVE
(47.61665268, -122.33262784)"
25044,6153914,5020 CALIFORNIA AVE SW,"Construct mixed use apartment and live-work building with below grade parking garage and occupy, per plan.",MULTIFAMILY,NEW,12859426.0,2012-08-14,2013-06-03,2014-11-20,2014-12-03,Permit Closed,47.55680616,-122.38645790000001,"5020 CALIFORNIA AVE SW
(47.55680616, -122.38645793)"
25049,6284918,400 9TH AVE N,"Phased project:  Construction of an office and retail building with below grade parking and occupy, per plan",COMMERCIAL,NEW,65935756.0,2013-10-03,2014-02-24,2015-08-07,2015-08-24,Permit Closed,47.62264265,-122.33941029999998,"400 9TH AVE N
(47.62264265, -122.33941026)"
25167,6499091,6968 31ST AVE SW,"Construct new 6-unit townhouse structure (Building 8), per plan. (Construct eight new townhouse structures/Review and processing for 8 AP's under #6484730)",MULTIFAMILY,NEW,1318740.0,2015-10-14,2016-11-15,2017-11-15,2018-05-15,Permit Closed,47.53942119,-122.3714939,"6968 31ST AVE SW
(47.53942119, -122.37149391)"
25579,6439675,400 DEXTER AVE N,"Shoring and excavation for future construction of a new office building with ground floor retail and below grade parking, per plan.",COMMERCIAL,NEW,7000000.0,2014-10-09,2015-06-30,2017-05-04,2016-12-30,Permit Closed,47.6223157,-122.34195679999999,"400 DEXTER AVE N
(47.6223157, -122.34195684)"
25597,6398415,3701 SW 104TH ST,"Establish use as public school and construct new Arbor Heights Elementary School, occupy per plan.",INSTITUTIONAL,NEW,14000000.0,2014-08-07,2015-03-09,2017-01-25,2018-03-09,Permit Closed,47.50970617,-122.3776024,"3701 SW 104TH ST
(47.50970617, -122.3776024)"
25602,6383857,1850 N 34TH ST,Construct apartment building (East tower) with 6 live-work units and occupy per plan (Establish use as apartments with underground garage and construct 2 new apartment structures with below ground parking/review & process for 2 AP's under #6368859).,MULTIFAMILY,NEW,10666169.0,2013-10-07,2015-01-07,2017-03-23,2018-01-07,Permit Closed,47.64827306,-122.3357527,"1850 N 34TH ST
(47.64827306, -122.33575265)"
25944,6379894,5902 22ND AVE NW,"Establish use as rowhouse per the Land Use Code and construct 5-unit boarding house (35 sleeping units), per plans.",MULTIFAMILY,NEW,1100891.0,2013-12-26,2014-09-02,2015-11-06,2016-03-02,Permit Closed,47.67181283,-122.3845165,"5902 22ND AVE NW
(47.67181283, -122.38451653)"
26045,6353526,1900 1ST AVE,"Shoring and excavation for construction of a mixed use residential (apartments and hotel rooms) and retail building with below grade parking, per plan (includes underpinning adjacent northern building)",COMMERCIAL,NEW,2069779.0,2013-05-24,2014-06-27,2016-03-15,2015-12-27,Permit Closed,47.61070574,-122.3413759,"1900 1ST AVE
(47.61070574, -122.34137594)"
26104,6451574,4600 22ND AVE NE,"Establish use as congregate residence and construct new dormitory structure, per plan.",MULTIFAMILY,NEW,1100000.0,2015-03-05,2015-07-25,2016-09-19,2017-01-25,Permit Closed,47.66196595,-122.3041538,"4600 22ND AVE NE
(47.66196595, -122.3041538)"
26151,6368063,2418 NW 58TH ST,"Establish use as multifamily structure, construct one 6 unit boarding house and occupy per plan.",MULTIFAMILY,NEW,1626014.0,2013-09-23,2014-04-08,2015-09-21,2015-10-08,Permit Closed,47.6711164,-122.38851740000001,"2418 NW 58TH ST
(47.6711164, -122.38851736)"
26427,6321396,4203 SW ALASKA ST,"Phased project: Construction of East mixed use building with underground parking and occupy, per plan (Construction of two mixed use buildings with underground parking - 2 APs under 6321396) Separate SDOT permit also required.",COMMERCIAL,NEW,28213447.0,2012-06-18,2013-09-13,2015-11-18,2016-09-13,Permit Closed,47.560820299999996,-122.38590149999999,"4203 SW ALASKA ST
(47.5608203, -122.38590152)"
26673,6313996,4041 ROOSEVELT WAY NE,"Construction of a residential and retail building with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,29093278.0,2013-02-04,2015-06-03,2017-05-31,2018-06-03,Permit Closed,47.65646419,-122.3181508,"4041 ROOSEVELT WAY NE
(47.65646419, -122.31815084)"
26685,6339621,4608 LAKE WASHINGTON BLVD S,"Establish use as and construct an underground combined sewage storage tank and facility vault associated with the Genessee Combined Sewer Overflow (CSO) Reduction Project, occupy per plan.",COMMERCIAL,NEW,6663300.0,2013-02-14,2013-06-19,2015-04-30,2016-06-19,Permit Closed,47.56173976,-122.2672787,"4608 LAKE WASHINGTON BLVD S
(47.56173976, -122.26727866)"
26773,6390051,2321 S HOLGATE ST,Establish use as and construct new 7 unit live-work structure and occupy per plan.,COMMERCIAL,NEW,1485648.0,2014-11-25,2015-07-09,2017-02-09,2018-07-09,Permit Closed,47.58620761,-122.3019312,"2321 S HOLGATE ST
(47.58620761, -122.30193117)"
26785,6420528,2003 NW 57TH ST,"Construction of a residential and 14-live-work building with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,17322123.0,2015-03-04,2015-09-23,2017-07-18,2018-09-23,Cert of Occupancy Authorized,47.66998377,-122.3825021,"2003 NW 57TH ST
(47.66998377, -122.38250213)"
26805,6304715,1811 17TH AVE,Establish use and construct an apartment building with surface parking per plan.  Project includes demolition of existing apartment building by separate permit.,COMMERCIAL,NEW,1141131.0,2012-10-22,2013-05-07,2014-07-08,2014-11-07,Permit Closed,47.61805139,-122.3104763,"1811 17TH AVE
(47.61805139, -122.3104763)"
27069,6295045,4741 11TH AVE NE,"Establish use for and construct new motor vehicle sales/rental building with upper level vehicle storage, rooftoop terrace, showroom service bays and accessory offices (per MUP 3012712) and occupy per plan.",COMMERCIAL,NEW,12567914.0,2012-11-07,2013-04-29,2014-09-25,2014-10-29,Permit Closed,47.66414599,-122.31665520000001,"4741 11TH AVE NE
(47.66414599, -122.31665515)"
27190,6477308,5027 44TH AVE NE,"Establish use as rowhouse and construct a 4 unit townhouse building, per plans",MULTIFAMILY,NEW,1255202.0,2015-09-11,2016-05-24,2017-10-05,2017-11-24,Permit Closed,47.66570781,-122.28030190000001,"5027 44TH AVE NE
(47.66570781, -122.2803019)"
27217,6355138,933 NW 49TH ST,"Establish use as manufacturing, construct commercial building with surface parking, and occupy, per plan.",INDUSTRIAL,NEW,1138448.0,2013-07-11,2013-11-21,2014-08-25,2015-05-21,Permit Closed,47.66418156,-122.37013909999999,"933 NW 49TH ST
(47.66418156, -122.37013905)"
27482,6365990,2208 15TH AVE W,"Establish use as and construct apartment building with reduced parking for low income disabled units, and mechanical, and occupy, per plan.",MULTIFAMILY,NEW,5968100.0,2014-01-07,2014-06-20,2015-12-18,2015-12-20,Permit Closed,47.63892905,-122.3758351,"2208 15TH AVE W
(47.63892905, -122.37583514)"
27557,6371235,900 NE 65TH ST,"Phased Permit: Construction of a residential and retail building with below grade parking and occupy, per plan",COMMERCIAL,NEW,26191661.0,2013-09-18,2014-04-29,2015-10-05,2015-10-29,Permit Closed,47.67607614,-122.31847379999999,"900 NE 65TH ST
(47.67607614, -122.31847383)"
27931,6391699,800 NE 67TH ST,"Shoring and excavation for future construction of a residential building with below grade parking, per plan. review of 2 applications review and  processing  under 6391699",MULTIFAMILY,NEW,1245000.0,2013-12-23,2014-08-28,2016-05-09,2016-02-28,Permit Closed,47.67744717,-122.31989440000001,"800 NE 67TH ST
(47.67744717, -122.3198944)"
27975,6359768,1101 NE CAMPUS PKWY,"Construction of new residential student housing building (Terry Hall) and occupy, per plan (Construct addition to below grade parking and podium structure connecting to Lander Hall and construct Maple and Terry residential buildings on top of podium structure and occupy, per plan - 3APs under 6249284)",INSTITUTIONAL,NEW,7648892.0,2013-04-25,2014-03-07,2015-10-27,2017-03-07,Permit Closed,47.65577125,-122.3170365,"1101 NE CAMPUS PKWY
(47.65577125, -122.31703645)"
28202,6337450,4761 41ST AVE NE,Establish use as multifamily structure and construct 8-unit townhouses with attached garages per plan.,MULTIFAMILY,NEW,1174298.0,2013-02-11,2013-06-04,2014-07-01,2014-12-04,Permit Closed,47.66476705,-122.2839396,"4761 41ST AVE NE
(47.66476705, -122.28393959)"
28342,6412958,4532 20TH AVE NE,Establish use for and construct congregate residence in urban village with on site parking and occupy per plan.,MULTIFAMILY,NEW,1019225.0,2014-07-08,2015-02-09,2016-11-14,2018-02-09,Permit Closed,47.66222901,-122.3061952,"4532 20TH AVE NE
(47.66222901, -122.3061952)"
28751,6471782,3901 SW FINDLAY ST,Establish use as and construct new six unit rowhouse and occupy per plans.,MULTIFAMILY,NEW,1167660.0,2015-05-26,2015-12-16,2016-10-14,2017-06-16,Permit Finaled,47.55189388,-122.3819111,"3901 SW FINDLAY ST
(47.55189388, -122.38191105)"
28904,6345134,756 JOHN ST,"Establish use as office and multi-family residential apartments. Construct office and apartment building with basement parking and occupy, per plans.",COMMERCIAL,NEW,10867590.0,2013-01-14,2013-07-24,2014-09-29,2015-01-24,Permit Closed,47.62001578,-122.3419767,"756 JOHN ST
(47.62001578, -122.34197672)"
29012,6289114,500 9TH AVE N,"Phased Permit: Construction of south office building including below-grade parking garage and occupy,per plan (Construct two office buildings with common below grade parking and occupy, per plan - 2 APs under 6289114).",COMMERCIAL,NEW,57272930.0,2012-11-06,2013-04-24,2014-10-14,2016-04-24,Permit Closed,47.62384112,-122.3394213,"500 9TH AVE N
(47.62384112, -122.33942127)"
29267,6317587,4039 8TH AVE NE,Construct apartment building and occupy per plan.,MULTIFAMILY,NEW,2500381.0,2013-05-20,2014-02-26,2016-03-31,2017-02-26,Permit Closed,47.65673138,-122.3201138,"4039 8TH AVE NE
(47.65673138, -122.32011381)"
29475,6418212,2900 3RD AVE W,"Construction of an assisted living facility (Aegis Living) with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,16145095.0,2014-05-22,2014-11-21,2016-06-30,2017-11-21,Cert of Occupancy Authorized,47.64626509,-122.3603139,"2900 3RD AVE W
(47.64626509, -122.36031388)"
29605,6286988,1011 S WELLER ST,"Substantial alteration existing 34-unit 4 story SHA Leschi House apartment building and construction of a new 6-story addition containing 35-40 1 bedroom units & garage. Renovation scope includes replace existing window and wall systems, replacement of kitchen and bath finishes and fixtures, and modifications to interior common area, per plans.",MULTIFAMILY,NEW,6337696.0,2012-12-21,2013-06-21,2015-01-07,2014-12-21,Permit Closed,47.59718925,-122.31895990000001,"1011 S WELLER ST
(47.59718925, -122.31895986)"
29626,6455573,8543 MIDVALE AVE N,"Establish use and construct new apartment building and occupy, per plans.",MULTIFAMILY,NEW,1378399.0,2015-09-30,2016-11-21,2018-03-12,2018-05-21,Permit Closed,47.69172722,-122.3426662,"8543 MIDVALE AVE N
(47.69172722, -122.34266617)"
29649,6303090,1000 NE 135TH ST,"Construct driving range structure and associate grading for Jackson Park and occupy, per plans.",COMMERCIAL,NEW,2460495.0,2012-12-17,2013-04-26,2015-03-30,2014-10-26,Permit Closed,47.72859378,-122.31663940000001,"1000 NE 135TH ST
(47.72859378, -122.31663938)"
29965,6165135,13730 LAKE CITY WAY NE,Construct new residential (senior housing) building with (2) live work units at ground level and below grade parking and occupy per plan.,COMMERCIAL,NEW,18153897.0,2013-01-24,2015-02-23,2017-10-04,2018-02-23,Permit Closed,47.72943418,-122.29156770000002,"13730 LAKE CITY WAY NE
(47.72943418, -122.2915677)"
30050,6383355,4505 42ND AVE SW,"Construct new retail and residential building with below grade parking, and occupy per plan.",MULTIFAMILY,NEW,6459064.0,2015-04-30,2016-05-24,2018-03-13,2019-05-24,Permit Closed,47.56270022,-122.38579490000001,"4505 42ND AVE SW
(47.56270022, -122.38579486)"
30093,6424994,1436 NW 62ND ST,Construct apartment building and occupy per plan.,MULTIFAMILY,NEW,1500442.0,2014-11-17,2015-06-19,2018-03-13,2018-06-19,Permit Finaled,47.674022799999996,-122.3753048,"1436 NW 62ND ST
(47.6740228, -122.37530476)"
30272,6383919,611 E HOWELL ST,Construct apartment building and occupy per plan.,MULTIFAMILY,NEW,1236413.0,2014-02-12,2015-08-12,2017-02-22,2017-02-12,Permit Closed,47.61757294,-122.3239217,"611 E HOWELL ST
(47.61757294, -122.32392169)"
30604,6379558,4433 42ND AVE SW,"Construct 78 unit apartment building, and 2 additional live-work units, over one level of below grade parking and occupy, per plan.",MULTIFAMILY,NEW,6766647.0,2013-09-20,2015-02-12,2016-09-08,2016-08-12,Permit Closed,47.56373681,-122.3857625,"4433 42ND AVE SW
(47.56373681, -122.38576254)"
30671,6475983,1515 LAKEVIEW BLVD E,"Establish use as rowhouse and construct townhouse structure, per plan",MULTIFAMILY,NEW,1832050.0,2016-05-26,2016-08-02,2018-01-29,2018-02-02,Cert of Occupancy Authorized,47.63310462,-122.3230233,"1515 LAKEVIEW BLVD E
(47.63310462, -122.32302326)"
30682,6526803,7016 15TH AVE NW,"Construct mixed use building with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,8668163.0,2016-04-05,2016-06-24,2018-03-14,2019-06-24,Permit Closed,47.68004583,-122.3764168,"7016 15TH AVE NW
(47.68004583, -122.37641675)"
30935,6412408,1550 W ARMORY WAY,"Establish retail use and construct a commercial building for ""Total Wine"" with surface parking, occupy per plans.",COMMERCIAL,NEW,2483250.0,2015-01-16,2015-10-14,2016-10-10,2017-04-14,Permit Closed,47.63849474,-122.37696059999999,"1550 W ARMORY WAY
(47.63849474, -122.37696058)"
31419,6499769,1319 NE 65TH ST,"Construction of a residential and retail building with covered parking and partially occupy, per plan.",COMMERCIAL,NEW,3985683.0,2016-02-23,2016-10-28,2018-03-02,2018-04-28,Permit Closed,47.67566271,-122.31348009999999,"1319 NE 65TH ST
(47.67566271, -122.31348006)"
31508,6378644,2201 EASTLAKE AVE E,"Establish use as apartments and retail and construct new mixed use building with below grade parking, occupy per plan.",COMMERCIAL,NEW,6197898.0,2015-04-20,2016-06-14,2018-03-19,2019-06-14,Permit Closed,47.63854074,-122.32620159999998,"2201 EASTLAKE AVE E
(47.63854074, -122.32620155)"
32768,6380693,1007 STEWART ST,"Construction of an office and retail building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,84995652.0,2014-07-17,2015-01-06,2017-06-05,2018-01-06,Permit Closed,47.61632879,-122.3330523,"1007 STEWART ST
(47.61632879, -122.33305228)"
33092,6421330,5304 BALLARD AVE NW,"Establish use as retail & office and construct building addition. Substantial alterations and change of construction to type VA of the existing commercial building, occupy per plans.",COMMERCIAL,NEW,5100000.0,2014-11-17,2015-06-17,2016-11-18,2016-12-17,Permit Closed,47.66673716,-122.3831091,"5304 BALLARD AVE NW
(47.66673716, -122.38310905)"
33141,6485841,836 NE 67TH ST,"Establish use as and construct new multi-family building and occupy, per plan.",MULTIFAMILY,NEW,3507869.0,2015-10-12,2016-07-15,2018-02-15,2019-07-15,Permit Closed,47.6774562,-122.3184672,"836 NE 67TH ST
(47.6774562, -122.31846715)"
33924,6363305,103 12TH AVE,"Construction multistory apartment building with basement parking and roof deck with retail space and parking for 47 vehicles under cover and occupy, per plans.",COMMERCIAL,NEW,13462714.0,2013-06-18,2014-02-03,2015-05-27,2015-08-03,Permit Closed,47.60185619,-122.3170459,"103 12TH AVE
(47.60185619, -122.31704594)"
34252,6418661,3407 AIRPORT WAY S,"Construction of maintenance shop and office building (Building A) accessory to the light rail transit operations and maintenance base (Sound Transit Light Rail) and occupy, per plan.",INDUSTRIAL,NEW,4316730.0,2014-08-20,2015-01-13,2016-07-14,2016-07-13,Permit Closed,47.5735097,-122.32240220000001,"3407 AIRPORT WAY S
(47.5735097, -122.3224022)"
34285,6353536,1821 BOREN AVE,"Shoring and Excavation for Construction of residential (hotel), office, and retail building with below grade parking, per plan",COMMERCIAL,NEW,1818000.0,2013-04-22,2013-08-22,2015-04-03,2015-02-22,Permit Closed,47.61665268,-122.3326278,"1821 BOREN AVE
(47.61665268, -122.33262784)"
34336,6404209,4740 32ND AVE S,"Phased project: Construct a residential apartment building (Building 6), and occupy per plan. (Multi-tagged with projects 6360806, 6404205, 6404206, 6404207, & 6404208. Document tracking under 6404243.)",MULTIFAMILY,NEW,4115258.0,2014-04-01,2014-10-16,2016-04-15,2016-04-16,Cert of Occupancy Authorized,47.56015663,-122.2910966,"4740 32ND AVE S
(47.56015663, -122.29109656)"
34345,6448374,4724 22ND AVE NE,"Construct apartment building and occupy, per plan.",MULTIFAMILY,NEW,1358475.0,2015-01-28,2015-08-17,2017-06-07,2018-08-17,Permit Closed,47.66389117,-122.3038142,"4724 22ND AVE NE
(47.66389117, -122.3038142)"
34375,6319992,6404 24TH AVE NW,Establish use as multifamily structure and retail. Construct apartment and retail building with below grade parking and occupy per plan.,COMMERCIAL,NEW,11596861.0,2013-05-23,2014-03-03,2016-05-18,2017-03-03,Permit Closed,47.67554783,-122.38723970000001,"6404 24TH AVE NW
(47.67554783, -122.38723965)"
34848,6456440,12311 32ND AVE NE,"Construction of a residential and retail building (9 live-work) with below grade parking and occupy, per plan.",COMMERCIAL,NEW,21004917.0,2015-02-04,2015-08-12,2017-08-18,2018-08-12,Permit Closed,47.71787303,-122.29447659999998,"12311 32ND AVE NE
(47.71787303, -122.29447656)"
34922,6249284,1101 NE CAMPUS PKWY,"Construct addition to below grade parking & podium structure (level 4) including connection to residential building. (Lander Hall) below grade parking area and occupy, per plan. Construct Maple & Terry residential buildings on top of podium structure & occupy, per plan (3 A/P's - 6249284). Note: This TCO is for Terry 1 & 2 & parking garage - UW staff only.",INSTITUTIONAL,NEW,21988640.0,2013-04-25,2014-03-07,2015-10-27,2017-09-07,Permit Closed,47.65577125,-122.3170365,"1101 NE CAMPUS PKWY
(47.65577125, -122.31703645)"
35002,6354902,2249 NE 46TH ST,"Establish use and construct new multifmaily structure with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,2825161.0,2014-11-12,2015-04-30,2016-08-31,2016-10-30,Permit Closed,47.66142742,-122.30334520000001,"2249 NE 46TH ST
(47.66142742, -122.30334519)"
35286,6446552,5601 22ND AVE NW,Construct shoring & excavation per plan.,MULTIFAMILY,NEW,1749298.0,2014-11-18,2015-03-18,2016-10-14,2016-09-18,Permit Closed,47.66974927,-122.385144,"5601 22ND AVE NW
(47.66974927, -122.38514397)"
35332,6370621,7712 40TH AVE NE,"Construct new elementary school (Thornton Creek), and occupy per plans.",INSTITUTIONAL,NEW,17856708.0,2014-08-26,2015-03-25,2017-05-03,2018-03-25,Permit Closed,47.68566128,-122.2843148,"7712 40TH AVE NE
(47.68566128, -122.28431481)"
35335,6392906,1287 WESTLAKE AVE N,"Construction of a residential structure and occupy, per plan.",COMMERCIAL,NEW,19504854.0,2014-07-22,2015-04-24,2017-08-24,2018-04-24,Permit Closed,47.63211623,-122.34152759999998,"1287 WESTLAKE AVE N
(47.63211623, -122.34152764)"
35383,6424553,2101 9TH AVE,"Shoring and excavation only to prepare site for future construction of hi-rise mixed use residential building with underground parking, per MUP 3016305 and per plans.",COMMERCIAL,NEW,5030000.0,2014-09-16,2015-05-22,2017-12-07,2016-11-22,Permit Closed,47.61709778,-122.3375332,"2101 9TH AVE
(47.61709778, -122.33753317)"
35887,6453677,9176 HOLMAN RD NW,"Establish use as retail and multi-family residential. Construct mixed use retail, multi-family residential building and occupy, per plans.",MULTIFAMILY,NEW,16252201.0,2015-04-02,2015-11-04,2017-07-10,2018-11-04,Permit Closed,47.69572937,-122.37335929999999,"9176 HOLMAN RD NW
(47.69572937, -122.37335928)"
35936,6404206,4770 32ND AVE S,"Construct a residential apartment building (building 3), and occupy per plan.  See also 6404205 and 6404207 and 6404208 and 6404209 and 6360806",MULTIFAMILY,NEW,4348621.0,2014-04-01,2014-10-16,2016-04-20,2016-04-16,Permit Closed,47.5596089,-122.2904265,"4770 32ND AVE S
(47.5596089, -122.29042652)"
36534,6412152,924 HOWELL ST,"Construction of a hotel building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,44878262.0,2015-12-08,2016-06-15,2017-12-14,2017-12-15,Permit Closed,47.61556306,-122.3327618,"924 HOWELL ST
(47.61556306, -122.33276181)"
36619,6456468,5917 4TH AVE S,"Establish use as and construct warehouse and occupy, per plan.",INDUSTRIAL,NEW,4539343.0,2015-12-15,2016-07-07,2017-10-12,2018-01-07,Permit Closed,47.55009055,-122.33195570000001,"5917 4TH AVE S
(47.55009055, -122.3319557)"
